index	count	dset	type
http://bio2rdf.org/drugbank:DB00898	8431	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00900	415	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00907	5647	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00908	1271	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00933	217	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00937	247	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00951	2003	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00983	1265	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00989	419	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01021	193	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01037	1258	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01045	3033	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01049	279	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01063	220	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01064	5084	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01095	1595	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01101	1512	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01114	747	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01119	1504	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01124	1011	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01136	3250	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01144	192	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01148	180	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01151	1643	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01156	1186	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01176	174	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01193	599	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01195	664	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01196	266	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01200	1829	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01201	256	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01204	1596	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01210	208	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01211	1139	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01214	271	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01233	1078	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01239	307	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01240	1335	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01242	1556	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01253	234	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01285	770	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01294	170	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01356	3653	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01357	349	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01365	164	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01380	183	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01403	511	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01440	197	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01551	254	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01577	3858	4-CTD	Drug
http://bio2rdf.org/drugbank:DB04272	802	4-CTD	Drug
http://bio2rdf.org/drugbank:DB04572	799	4-CTD	Drug
http://bio2rdf.org/drugbank:DB04843	105	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00189	121	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00199	3084	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00200	281	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00205	1625	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00248	679	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00254	2785	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00257	2147	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00273	2143	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00313	21253	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00314	172	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00316	18485	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00356	1339	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00375	172	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00404	1587	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00422	1702	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00440	1744	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00449	265	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00490	1781	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00512	4751	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00521	458	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00593	1356	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00601	1453	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00604	442	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00606	439	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00610	358	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00640	4215	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00661	3407	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00668	4247	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00674	1541	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00683	1561	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00696	1294	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00703	1294	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00705	1394	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00723	460	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00770	1780	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00816	966	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00819	1794	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00822	4396	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00829	2738	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00841	3328	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00867	796	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00884	1723	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00889	287	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00898	9428	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00900	1376	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00907	6639	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00908	2268	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00933	581	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00937	331	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00951	3000	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00983	1563	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00989	1009	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01021	941	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01037	2217	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01045	4030	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01049	279	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01063	343	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01064	6081	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01095	1595	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01101	1871	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01114	1744	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01119	2471	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01124	2008	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01136	4223	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01144	1170	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01148	1170	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01151	2616	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01156	2170	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01176	894	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01193	1586	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01195	1132	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01196	675	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01200	2809	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01201	1234	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01204	2593	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01210	893	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01211	2136	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01214	452	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01233	2051	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01239	307	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01240	1506	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01242	2553	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01253	892	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01285	770	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01294	262	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01356	3741	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01357	1332	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01365	236	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01380	937	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01403	682	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01440	297	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01551	400	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB01577	4078	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB04272	1780	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB04572	1451	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB04843	105	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:BE0000064	58	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000076	29	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000081	47	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000091	38	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000135	46	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000177	100	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000192	44	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000198	48	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000204	44	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000219	45	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000309	46	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000338	31	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000345	36	2-KEGG	Protein
http://bio2rdf.org/drugbank:BE0000368	60	2-KEGG	Protein
