index	count	dset	type
http://bio2rdf.org/drugbank:DB01196	266	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01200	1829	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01201	256	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01204	1596	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01210	208	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01211	1139	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01214	271	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01233	1078	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01239	307	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01240	1335	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01242	1556	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01253	234	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01285	770	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01294	170	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01356	3653	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01357	349	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01365	164	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01380	183	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01403	511	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01440	197	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01551	254	4-CTD	Drug
http://bio2rdf.org/drugbank:DB01577	3858	4-CTD	Drug
http://bio2rdf.org/drugbank:DB04272	802	4-CTD	Drug
http://bio2rdf.org/drugbank:DB04572	799	4-CTD	Drug
http://bio2rdf.org/drugbank:DB04843	105	4-CTD	Drug
http://bio2rdf.org/drugbank:DB00189	121	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00199	3084	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00200	281	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00205	1625	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00248	679	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00254	2785	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00257	2147	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00273	2143	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00313	21253	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00314	172	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00316	18485	5-EBIRDF	Drug
http://bio2rdf.org/drugbank:DB00356	1339	5-EBIRDF	Drug
